epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,2823.11,0.76312,2.8017,0.28085,0.55603,1.09812,0.93652,0.88441,0.95677,0.80729,0.86743,0.79158,0.8337,0.47951,0.3882,1.36166,0.14082,0.47983,0.53736,0.008515,0.008515,0.008515
17,2994.93,0.76153,2.79555,0.27677,0.55719,1.09679,0.94489,0.5346,0.75393,0.61321,0.89288,0.50518,0.68032,0.40326,0.53588,1.78339,0.17991,1.23301,0.66383,0.008416,0.008416,0.008416
18,3169.37,0.75641,2.62811,0.27286,0.5429,1.09179,0.97044,0.91251,0.96632,0.82995,0.9026,0.84335,0.86495,0.5169,0.33983,1.17897,0.13127,0.56922,0.49807,0.008317,0.008317,0.008317
19,3345.55,0.7466,2.65539,0.27064,0.54105,1.0912,0.9146,0.78147,0.86305,0.68738,0.82867,0.70082,0.73811,0.41928,0.47867,1.55646,0.16963,0.65524,0.60785,0.008218,0.008218,0.008218
20,3520.85,0.74082,2.60102,0.26834,0.53226,1.08846,0.9532,0.93896,0.97523,0.83993,0.89237,0.86158,0.88767,0.54898,0.3531,1.13493,0.13076,0.46069,0.50969,0.008119,0.008119,0.008119
21,3695.48,0.7328,2.56988,0.27036,0.52663,1.08277,0.9759,0.97098,0.98665,0.86765,0.92167,0.91694,0.9226,0.57632,0.31883,1.00756,0.12282,0.29437,0.48349,0.00802,0.00802,0.00802
22,3869.84,0.7291,2.47232,0.26226,0.51632,1.07996,0.65693,0.06812,0.10687,0.04653,0.39603,0.04087,0.04232,0.01313,1.59287,4.26039,0.56182,3.10293,2.0358,0.007921,0.007921,0.007921
23,4046.37,0.72002,2.50448,0.2617,0.50961,1.07606,0.79117,0.33515,0.40029,0.25507,0.63997,0.2693,0.28177,0.14162,1.14103,3.01811,0.35184,2.30903,1.3533,0.007822,0.007822,0.007822
24,4221.54,0.72119,2.43149,0.25672,0.51184,1.07586,0.98081,0.97984,0.98862,0.87133,0.93752,0.93216,0.93408,0.61754,0.30973,0.88622,0.11371,0.47543,0.46751,0.007723,0.007723,0.007723
25,4398.41,0.71421,2.37107,0.25779,0.50312,1.07134,0.38446,0.22398,0.22179,0.12615,0.28908,0.1467,0.13062,0.07277,1.3923,3.74057,0.45096,3.0358,1.80101,0.007624,0.007624,0.007624
26,4578.25,0.71428,2.36143,0.25348,0.5026,1.0703,0.98276,0.99421,0.98958,0.88947,0.96354,0.965,0.96358,0.65682,0.27732,0.73804,0.1066,0.56002,0.45158,0.007525,0.007525,0.007525
27,4754.32,0.71362,2.39598,0.25405,0.50081,1.07007,0.98319,0.98805,0.99009,0.88852,0.96412,0.96785,0.9687,0.65421,0.27941,0.75466,0.10703,0.58074,0.45345,0.007426,0.007426,0.007426
28,4928.22,0.70199,2.32549,0.25017,0.49645,1.06712,0.95286,0.67084,0.76986,0.64279,0.91928,0.64687,0.72734,0.47183,0.50181,1.48713,0.17506,0.96508,0.64792,0.007327,0.007327,0.007327
