epoch,train_loss,val_loss,train_acc,val_acc
1,0.601218977256825,0.8637614876031876,0.5,0.2948717948717949
2,0.6043548270275718,0.8818772584199905,0.5016447368421053,0.2948717948717949
3,0.5508750457512704,0.6633633077144623,0.7220394736842105,0.6410256410256411
4,0.5155945828086451,0.7172693073749542,0.7417763157894737,0.6217948717948718
5,0.4590120241045952,0.4610662624239922,0.805921052631579,0.75
6,0.470728909106631,0.5106729626655578,0.8075657894736842,0.75
7,0.3484796369938474,0.5079351663589478,0.8519736842105263,0.7756410256410257
8,0.26195260901984413,0.914461125805974,0.805921052631579,0.6858974358974359
9,0.18364720002404952,0.5412778407335281,0.8601973684210527,0.7756410256410257
10,0.19371719158401615,0.36588454209268095,0.9144736842105263,0.8269230769230769
11,0.16954456735402346,0.17908582650125027,0.962171052631579,0.9294871794871795
12,0.13853537247173095,0.24450788013637065,0.9539473684210527,0.9230769230769231
13,0.09943686457546919,0.2208773886784911,0.975328947368421,0.9294871794871795
14,0.08774645803006072,0.40777735952287913,0.9555921052631579,0.8525641025641025
15,0.08161740165546928,0.320912784896791,0.9539473684210527,0.8782051282051282
16,0.10292876847578507,0.18399900575168432,0.9720394736842105,0.9294871794871795
17,0.04650604879900225,0.09127841219014954,0.9802631578947368,0.9807692307692307
18,0.05298153176830199,0.14126486624591053,0.9901315789473685,0.9487179487179487
19,0.04631414633293293,0.12334222299978137,0.9884868421052632,0.9551282051282052
20,0.03759617249383346,0.21756513285508844,0.9490131578947368,0.9423076923076923
21,0.04158437872913629,0.26433467522729187,0.9802631578947368,0.9038461538461539
22,0.038410882941925115,0.09050011082435958,0.9851973684210527,0.9551282051282052
23,0.029708640968525095,0.16395714374666567,0.9884868421052632,0.9358974358974359
24,0.08492056203938678,0.16672112391679547,0.9769736842105263,0.9423076923076923
25,0.03728811875120491,0.10736397635191679,0.9868421052631579,0.9615384615384616
26,0.04201479559752012,0.12144126286584651,0.9901315789473685,0.9487179487179487
27,0.02263443439350292,0.15042851878197325,0.993421052631579,0.9487179487179487
28,0.024269925316682355,0.12207785451319068,0.993421052631579,0.967948717948718
29,0.013642002422497362,0.20661460184346653,0.9802631578947368,0.9487179487179487
30,0.01848841909859881,0.16069970317403204,0.993421052631579,0.9487179487179487
31,0.022628547322567198,0.21000613963115028,0.9917763157894737,0.9551282051282052
32,0.009218520828175028,0.18202821893264626,0.9983552631578947,0.9551282051282052
