epoch,train_loss,val_loss,train_acc,val_acc
1,0.6913834643363953,0.6999471443040031,0.5277777777777778,0.45544554455445546
2,0.6588066005706787,0.6299236161368233,0.73989898989899,0.693069306930693
3,0.5930118179321289,0.5735605188778469,0.7525252525252525,0.7326732673267327
4,0.5581791543960571,0.6236266057406153,0.7373737373737373,0.693069306930693
5,0.5256486773490906,0.5157376921602658,0.7777777777777778,0.7425742574257426
6,0.46569890558719634,0.5212045844112124,0.76010101010101,0.7029702970297029
7,0.42198809921741487,0.46173420548439026,0.8257575757575758,0.8118811881188119
8,0.5076988542079925,0.5143471743379321,0.7929292929292929,0.7128712871287128
9,0.3974504333734512,0.5855528265237808,0.8358585858585859,0.7524752475247525
10,0.4301592117547989,0.4364440143108368,0.8131313131313131,0.7821782178217822
11,0.34801707237958907,0.4731962127344949,0.8484848484848485,0.8514851485148515
12,0.3122224222123623,0.38030419605118887,0.8737373737373737,0.8514851485148515
13,0.31796664774417877,0.3559169481907572,0.8308080808080808,0.801980198019802
14,0.250608372092247,0.3404302698160921,0.9141414141414141,0.8712871287128713
15,0.2138834561407566,0.48058214145047323,0.8939393939393939,0.7722772277227723
16,0.196070389598608,0.28624717418902684,0.9419191919191919,0.8811881188118812
17,0.12824402898550033,0.3222917179976191,0.9368686868686869,0.9108910891089109
18,0.19314377553761006,0.2886238933673927,0.9545454545454546,0.900990099009901
19,0.1323750926926732,0.2945680714079312,0.9545454545454546,0.9207920792079208
20,0.13331885516643524,0.34359813215477125,0.9570707070707071,0.9207920792079208
21,0.2446523343771696,0.26404151054365294,0.8964646464646465,0.8613861386138614
22,0.19393583226948977,0.21629471385053226,0.9671717171717171,0.8910891089108911
23,0.14160698778927328,0.20566930448902504,0.9696969696969697,0.900990099009901
24,0.1271543161943555,0.22544084582477808,0.9696969696969697,0.8712871287128713
25,0.11473824901506305,0.22571571690163442,0.9772727272727273,0.8712871287128713
26,0.13760885562747716,0.2599328298653875,0.9646464646464646,0.900990099009901
27,0.07452239826321602,0.2950438741993691,0.9646464646464646,0.8712871287128713
28,0.09843897758051753,0.22757534975452082,0.9646464646464646,0.900990099009901
29,0.07169272219762206,0.17965433646791748,0.9823232323232324,0.9306930693069307
30,0.10912043741438537,0.4399179537348183,0.8888888888888888,0.7920792079207921
31,0.09632547482848168,0.18785910125422692,0.9772727272727273,0.9108910891089109
32,0.07418203234672546,0.24485013617335685,0.9949494949494949,0.9108910891089109
33,0.021752361790277064,0.31909963020422893,0.9823232323232324,0.9108910891089109
34,0.0768063466064632,0.15419959170477732,0.9621212121212122,0.9405940594059405
35,0.04582237169146538,0.15707255274589574,0.9924242424242424,0.9306930693069307
36,0.02825019311159849,0.1377332846833659,0.9873737373737373,0.9405940594059405
37,0.21884210539981722,0.29421850719622206,0.9621212121212122,0.8910891089108911
38,0.1135495626553893,0.2270510590502194,0.9747474747474747,0.9405940594059405
39,0.1030344795063138,0.24532760679721832,0.9696969696969697,0.9306930693069307
40,0.06141826105304062,0.16154036883796966,0.9873737373737373,0.9207920792079208
41,0.06574933195952326,0.20770326309970447,0.9823232323232324,0.9306930693069307
42,0.09189862628467381,0.216935752757958,0.9848484848484849,0.9207920792079208
43,0.0374445177661255,0.24191836081445217,0.9848484848484849,0.9108910891089109
44,0.03801382600329816,0.15229099237227015,0.9974747474747475,0.9405940594059405
45,0.013342822636477649,0.14248634741774627,0.9974747474747475,0.9405940594059405
46,0.007074174983426928,0.15083483486835444,0.9949494949494949,0.9306930693069307
