epoch,train_loss,val_loss,train_acc,val_acc
1,0.6334324494788521,0.7129331767559052,0.6200657894736842,0.4935897435897436
2,0.5948089259235483,0.7780107468366623,0.631578947368421,0.48717948717948717
3,0.49466368556022644,0.6770349629223347,0.8157894736842105,0.6858974358974359
4,0.3968701927285445,0.3886218162253499,0.8470394736842105,0.8269230769230769
5,0.3230314993936765,0.5788308348273858,0.8223684210526315,0.717948717948718
6,0.27804403928549665,0.21786130981054158,0.8782894736842105,0.9102564102564102
7,0.29959517070337344,0.39804889699444174,0.8618421052631579,0.8205128205128205
8,0.20482337102293968,0.560270473593846,0.8519736842105263,0.7243589743589743
9,0.15204308811869277,0.25028368341736495,0.9111842105263158,0.9102564102564102
10,0.12778981603485973,0.09663576502352952,0.9851973684210527,0.9743589743589743
11,0.09253621073194633,0.12717510887014213,0.9605263157894737,0.967948717948718
12,0.04853539203759283,0.1243518882060016,0.962171052631579,0.967948717948718
13,0.05695268459997973,0.17171016766224056,0.9786184210526315,0.9487179487179487
14,0.05391616803152781,0.06211577864014543,0.9901315789473685,0.9807692307692307
15,0.03529554990267283,0.1027126188899274,0.993421052631579,0.967948717948718
16,0.029962404735239322,0.18903633389563765,0.9671052631578947,0.9423076923076923
17,0.04513531427916238,0.063803874344012,0.9967105263157895,0.9871794871794872
18,0.014495179726509377,0.09273790605657269,0.9983552631578947,0.9743589743589743
19,0.02369864500552036,0.2034906038099507,0.962171052631579,0.9487179487179487
20,0.030232256172702796,0.1391858802418028,0.9835526315789473,0.9551282051282052
21,0.02021812735658482,0.06604676139054391,1.0,0.9871794871794872
22,0.00607501261210449,0.0599902203259262,1.0,0.9871794871794872
23,0.008102305723839794,0.0933731079773679,1.0,0.9871794871794872
24,0.003800256588683145,0.28591614454944647,0.9868421052631579,0.9358974358974359
25,0.028013141007441414,0.12265755927655846,0.9851973684210527,0.967948717948718
26,0.017759062630495082,0.144144248910834,0.9967105263157895,0.9615384615384616
27,0.013340732537950603,0.17706010791916924,0.9769736842105263,0.967948717948718
28,0.04273399813380246,0.3484858549446471,0.9654605263157895,0.9166666666666666
29,0.07380827109093509,0.13481577853926865,0.993421052631579,0.967948717948718
30,0.046093201551181996,0.14378637340996647,0.9868421052631579,0.9551282051282052
31,0.024273369616773715,0.10252461752443195,0.9967105263157895,0.9743589743589743
32,0.014528687321121413,0.10520255650521904,0.993421052631579,0.9743589743589743
